STP,2019 CCG code,2019 CCG name,Status,2019 ward name,2019 ward code,IMD: % of population living in areas rated as among the nation's most deprived,Income: % of population living in areas rated as among the nation's most deprived,Employment: % of population living in areas rated as among the nation's most deprived,Education: % of population living in areas rated as among the nation's most deprived,Health Deprivation & Disability: % of population living in areas rated as among the nation's most deprived,Crime: % of population living in areas rated as among the nation's most deprived,Barriers to Housing & Services: % of population living in areas rated as among the nation's most deprived,Living Environment: % of population living in areas rated as among the nation's most deprived,Cheek by jowl?,Digital Vulnerability decile,Financial Vulnerability decile,No. people living alone,Capacity decile,Proportion of urban LSOAs,RUC,Classification
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Audley & Queen’s Park,E05011508,0.844988421352726,0.8499579867658311,0.786582273416126,0.7783019151032575,0.9541783161695934,0.21104097790804102,0,0.5449579117421988,No,2,1,776,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Bastwell & Daisyfield,E05011509,0.9495894981396406,1,0.8811396230370151,0.9659699780483402,0.9671263705230551,0,0,0.5478854787150418,No,3,1,477,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Blackburn Central,E05011511,0.8956607154708967,0.8555837260237605,0.8364611402402602,0.8942412778478352,0.8788632994845247,0.5461874737284573,0,0.29006437910665694,No,2,1,1477,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Blackburn South East,E05011513,0.795774647887324,0.7868245838668374,0.8059859154929577,0.7868245838668374,0.8930504077094145,0.5350016847496462,0,0,No,2,1,1008,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Darwen East,E05011514,0.9234982409013545,0.8240721910158183,0.8936093332825814,0.8372197541068293,1,0.6685170281836422,0,0.7092394821126584,No,3,1,1402,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Darwen West,E05011516,0.5362161012945289,0.29732218787543363,0.4931517528111122,0.20336287307136777,0.6187838312117816,0.49141783993196636,0,0.6070244057180654,No,7,2,1006,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Ewood,E05011517,0.655404634174181,0.6342549817072072,0.6001739167002085,0.4763605452393682,0.9372076607452886,0.8236887161403108,0,0.6409953802437838,No,5,1,1209,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Little Harwood & Whitebirk,E05011518,0.7048958187910093,0.7788743659546744,0.6712253943878264,0.7714362580855321,0.7231222951277396,0.3082137954302201,0,0.5141540439294523,No,4,1,732,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Mill Hill & Moorgate,E05011520,0.9713976631949642,0.8340508422620956,0.9221165978742061,0.7094384681736848,1,0.7430241593418736,0,0.5669040541214881,No,4,1,1146,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Shear Brow & Corporation Park,E05011522,0.3364091318038686,0.5041554206027891,0.20216268056180334,0.2904071075123706,0.239739216274304,0.12111448493027438,0,0.7712909856550207,No,5,2,377,5,1,Urban,Urban city and town
